userName,score,at,content
Iwan Ezra Sinaga,3,2025-12-05 13:01:40,sya mau instal sangat lemot . padahal jaringan bagus
Suhadi,5,2025-12-05 12:14:09,Negara maju
Lala Kenzio,5,2025-12-05 12:12:27,Mantap
rinda santika,5,2025-12-05 11:55:27,"abis swaffoto ,,udah GK bisa ngapa ngapain gak maju sama sekali camera doang yg keluar"
Jamal Themax,3,2025-12-05 11:52:24,Ini kenapa dokumennya tidak keluar
robin lando,2,2025-12-05 09:35:25,"pitur layanan susah terbuka, mohon dibantu"
Ahmad Rifai,1,2025-12-05 09:12:31,"masak gak bisa masuk, pilihan cuma setela dan tutup aplikasi, di setelan gada yg bisa di setel supaya masuk ke ikd, hadeh parah ini"
onomarp Iduy (Yudipramono),5,2025-12-05 09:08:29,Assalamualaikum warahmatullahi 🙏👍
Arok Monarci,5,2025-12-05 09:07:47,bagus
Muhammad Saleh,5,2025-12-05 07:55:56,Sangat membantu untuk mengurus surat surat Kependudukkan
Ade Latifah,5,2025-12-05 07:52:12,ok
Hilman Maulana,1,2025-12-05 07:42:00,"saat membuka kamera di pendaftaran loadingnya lemot atau lama sekali padahal jaringan kenceng, maaf jika lancang apk ini sangat tidak ada kualitas harusnya apk negara itu ada kualitas untuk melayani masyarakat"
Benni Chaniago,1,2025-12-05 07:19:20,"setiap login malah minta diregistrasi ulang, perbaiki lagi app nya, masa sekelas app pemerintah kacangan begini,.."
Toan Botak,1,2025-12-05 07:16:29,ribet
Yugis NA,1,2025-12-05 06:59:41,ga fungsi
Rofiatul Khoiriyah,1,2025-12-05 06:26:37,"dipersulit, katanya bisa online. tapi daftar akun ikd harus offline. duduhhh"
Chaidir riza Fahlevi,1,2025-12-05 04:59:03,apk ampas
Agung Sudrajat,1,2025-12-05 04:57:01,Barcod dokumen KK tidak bisa di buka
Haviz Muhammad,1,2025-12-05 04:43:54,"jelek,aplikasi eror teruss masyarakat didorong untu buat ikd tapi aplikasi nya ga support pelayanan jelek"
Zulfikri Harahap,1,2025-12-05 04:39:19,kenapa aplikasi nggak bisa dibuka lagi
Yudi Purwanto,2,2025-12-05 04:33:18,"Aplikasi yang kurang bermanfaat, mungkin aplikasi ini dibuat hanya sekedar untuk merealisasikan anggaran yang ada di kementerian dalam negeri, karena kenyataan nya dalam pengurusan administrasi penduduk tetap harus mendatangi Disdukcapil."
Dinda Rizki,1,2025-12-05 04:31:01,tolol bgt di update mlh ga bisa dibuka
Leonardo Di Caprio,1,2025-12-05 04:14:50,"Ga bisa akses padahal sinyal full dan lancar, dikatain pasword salah padahal udah ngisi bener, gimana solusinya?"
Muhammad Dzakki Effendi,1,2025-12-05 04:08:08,"bisa2nya apk simpel kek gni aj gk bisa buat, pemerintah ngpain jing"
Fazar Setiawan,5,2025-12-05 02:25:42,bagus
Sugiyanto,1,2025-12-05 02:09:22,wey wok aplikasi mu delay banget wok
Resta Hermawan,1,2025-12-05 01:15:09,mau daftar saja di persulit. biat apa bikin aplikasi gak berguna
Dikaperatatama 2102,1,2025-12-05 00:00:39,pindai QR elorrr mulu susah login
Sandi Hermawan,2,2025-12-04 22:42:14,bagus sih kalo ada ktp digital tapi ribet kalo harus kekantor sipil kadang kita nuggu lama. haya ngurus scen barkot kenapa ga harus langsung kirim lewat email ajh kalo ujung² yah kekantor sipil mah meding ga jadi bikin KTP digital bukan yah mudah malah ribet.
Satria Pratama sejati,1,2025-12-04 16:29:57,"terlalu sering ke logout, kalo mau login masa harus ke kecamatan dulu ??? birokrasi ampas"
Annisa Salsabilla,1,2025-12-04 15:56:29,tidak praktis dan menyusahkan
Junaidi,1,2025-12-04 14:03:19,Tidak ada fitur untuk mengunduh dokumen. Update bukannya mempermudah malah ada ada aja fitur yang dihilangkan.
Faris Putra,1,2025-12-04 13:14:26,"buat apa online kalau harus berhadapan dengan petugas. gunain uang rakyat tp ga becus kerjanya, anggaran besar untuk aplikasi ga berguna seperti ini. ginilah kalau masuk kerja nyogog atau titipan org dalem. GA BERGUNA karena ga kompeten di bidangnya."
Hariyati Amin,1,2025-12-04 12:51:41,Perangkat anda tidak kompatibel dengan versi ini 😁😂🤣
Bang Eddy's Channel,1,2025-12-04 12:08:50,Ini bagaimana ceritanya? kita ingin daftar online tapi butuh kode Qris didepan petugas. Mohon diperbaiki lagi layanan aplikasi ini. Terimakasih.
Zain,2,2025-12-04 10:59:56,"Proses sampah, dah tau namanya kependudukan DIGITAL malah suruh ke kantor, APK LEMOT."
Ery Ekklesia,5,2025-12-04 10:41:01,Tingkatkan!
Rrffa Haydar,1,2025-12-04 10:32:38,"naha si yaallah eror eror wae padahal ker butuh, KTP lho iyeteh. lain apk ngegame aya eror wae sagala"
Slamet Rofik,3,2025-12-04 10:04:49,sering logout sendiri
Daffi Si bungsu,1,2025-12-04 09:38:14,"sayang nya harus Dateng ke petugas dukcapil untuk bisa mendapatkan kode QR, sangat sulit bagi orang² perantauan tuk bisa punya akun ini. coba diperbaiki lagi biar lebih mempermudah masyarakat yang sulit menjangkau kantor nya. saya lihat aplikasi dukcapil daerah lain ga sesulit ini malah gampang tuk mengurus surat² penting terkait kependudukan dan semacam nya hanya via online dalam 1 aplikasi, seperti adinda Inhil."
Lia Sampit,4,2025-12-04 08:40:48,lebih mudah dan efektif
Dina Olifia,5,2025-12-04 08:31:28,awesome
Ressi Irifaing Kusuma,1,2025-12-04 08:28:16,aneh banget pdhal uda terdaftar terverifikasi tapi ke log out sendiri gabisa login. bikin aplikasi ribet banget
Musik Teknologi18,1,2025-12-04 07:56:40,"gak guna,udah ada KTP fisik Maska gak Ter integrasi dengan auto login akun?,harus daftar KTP online ke dukcapil lgi kah?,kocak bener."
Cheryl,1,2025-12-04 07:32:32,"tlong lah kasih untuk donload, biar kita bs print sndiri gk hrus ke klurahan lg"
Muhammad Munir,1,2025-12-04 06:49:03,online tp utk scan QR tetap harus ke kantor dukcapil 🤦🤦🤦
Siti Undalis,1,2025-12-04 06:26:52,ANEH
Tasirin Ad,1,2025-12-04 06:21:18,ini sangat membantu kemudahan dalam pengusulan masyarakat
Dika,1,2025-12-04 06:06:41,aplikasi pemerintahan cacat semua
anang suryana,5,2025-12-04 05:46:40,terimakasih... pelayanan nya sangat ramah dan memudahkan kami warga bandung
Zhian Gio,1,2025-12-04 03:57:20,cara pindai kode QR gimana
