userName,score,at,content
Asep Legok,2,2025-11-22 09:38:37,fungsi kegunaan belum bisa di rasakan oleh instansi yg lain walau digital tetap masih gunakan fotocopy an. contoh di puskesmas
Sayid Tarmizi,5,2025-11-22 08:41:32,"hati hati, setelah ada update, ada orang yang mengatasnamakan kecamatan untuk data ke kantor untuk aktivasi aplikasi"
Zoro Na,1,2025-11-22 07:13:23,dari dulu apikasi dri pemerintah emang tolol dan kalah dr swasta. yg namanya online ya online. ngapain pendaftaran baru di suruh datang ke kantor untuk menerima barcode. itu sama aja dg offline. kan tolol
Fajar Putra Octavidie,2,2025-11-22 06:42:42,"Mohon untuk ditambahkan menu unduh atau download dokumennya, agar dapat mempermudah pengguna. saya mau cetak KK tidak bisa."
Fanny Indriani,2,2025-11-22 06:10:09,"perbarui terusss.,, tiap masuk harus di perbarui.."
yazid renaldi,3,2025-11-22 06:05:43,kenapa ktp ga bisa di ss? menyulitkan
yogi kurniawan s,1,2025-11-22 03:49:21,aplikasi kaleng data nggak bisa di unduh maupun di screenshoot stop bikin aplikasi. nggak ad yg jelas ke gunaan.
Sahala Simarmata,3,2025-11-22 03:48:25,Cara unduh dan share bagaimana ? Masa tidak bisa ?
halason nainggolan,1,2025-11-22 03:01:27,"Aplikasi asal jadi.baru beberapa hari gak buka setiap mau masuk di suruh daftar lagi,setelah masuk disuruh update lagi.aplikasi bikin tambah ribet pokoknya aplikasi dan kantor Dispenduk sama2 ribetnya"
ahmad ramadha,1,2025-11-22 00:12:32,"tengik x aplikasi nya ah, sistem digital, pendaftaran gak bisa online, padahal informasi data diri sdh lengkap .. mulai dr no hp, email dan nik smp foto diri ... harus pulak lg ke kantor di darat ... bikin keq 2 option pendaftaran ..."
Baehaqi masruri,2,2025-11-21 22:12:13,tolong dong untuk lebih mudah melakukan log in kita sudah mengisi data pada saat mau masuk setelah keluar kita harus mengisi data kembali sangat kurang simpel mohon dapatnya dibuatkan Nick ID dan password dan keamanan data nya lebih ditingkatkan.
Erman to,1,2025-11-21 14:30:46,ANGGARAN SAJA GEDE... APLIKASI TIDAK BERGUNA..
Ani saragih,5,2025-11-21 13:59:21,bagus
Chio Ku,5,2025-11-21 13:48:46,sulit dibuka dengan lain hp
Imam Munandar,1,2025-11-21 13:44:47,"aplikasi belum siap tp udah kejar tayang, jadinya baru 3hr lalu update gara² ga bisa buka, ini udah minta update lagi... hadeeehhh, kalo bisa NOL juga gue kasij NOL."
Litoto Sugih,5,2025-11-21 13:38:30,sangat bagus
Rahmat Hidayat,3,2025-11-21 13:27:07,"segala jenis aplikasi pemerintah rata2 gak jelas termasuk ini, banyak komentar negatif dan itu emang realitas yang ada. entah kekurangan modal atau kekurangan SDM, atau hanya proyek fiktif buat cari cuan lalu dibiarkan gitu aja gak ada perkembangan."
ragas daikoda,3,2025-11-21 09:55:09,"sebelum di update bisa download file dan kirim file, sekarang kok ngk bisa ya?? tolong diperbaiki ya.. min"
halfalah jaya,1,2025-11-21 08:17:26,"bikin susah aja,malah gak bisa login setelah update"
Agus Maniagasi,5,2025-11-21 06:55:21,mantap
Yudi Agustian,3,2025-11-21 06:51:42,update terus tapi ga ada perubahan
Cak Ary,3,2025-11-21 06:51:36,"pada saat awal install IKD dokumen pribadi yang lain (NPWP, BPJS) bisa tertaut, tapi yang versi saat ini tidak tertaut sama sekali. Ini upgrade atau downgrade? Jayalah Negeriku!!!!"
Ghea Audia,3,2025-11-21 06:42:59,"semoga aplikasinya dibuat semakin baik lagi makin mudah makin nyaman, tiap kali keluar halaman gak perlu pencet panah kiri atas. kalo pencet keluar dari bawah lgsg keluar aplikasi, lumayan ribeeet buat kita yg hp nya android terbiasa masih pake tombol navigasi.."
Donela Tasya,5,2025-11-21 06:41:09,dukcapil mantap
Se Puput,1,2025-11-21 06:36:20,kalau skin kekantor sama aja boong online Manding di kantor sakalian
wawan -,5,2025-11-21 06:12:22,Aplikasi simple dan mudah d mengerti...
roni awan,1,2025-11-21 06:11:42,"ruet, tiap kali harus isi data ulang jika ada pembaharuan web. buat aplikasi yang memudahkan"
ꦄꦶꦱ꧀ꦲꦩꦏ꧀ꦏꦃꦭꦶꦲꦕ꧀ꦲꦤ꧀ꦝꦫꦲꦫꦶꦱ,1,2025-11-21 06:09:06,"Malah koneksi server gagal, pdhl koneksi internet nya bener²bagus loh"
Novi Iwanggin,5,2025-11-21 04:44:59,sangat membantu
IKD SIAK,5,2025-11-21 03:45:47,dalam satu genggaman
Ujang Kontari,5,2025-11-21 03:45:28,Mantap
Deni Romansyah,5,2025-11-21 03:42:39,"Sangat excited dengan aplikasi ini, urusan data kependudukan menjadi lebih praktis."
Iqbal Chairul,1,2025-11-21 03:40:32,sampah!
Khofiza Salsabilla,1,2025-11-21 03:14:13,bikin capek. aplikasi kalau d buka sering di arahkan ke pendaftaran. saat pendaftaran berhasilpun nanti nggak lama akan seperti itu lagi.🤭
Wilianci Arnol,5,2025-11-21 03:08:57,mantap
Rina Ronsumbre123,5,2025-11-21 02:55:45,mantap
Youngster Antony,1,2025-11-21 02:12:28,tolong di tambahkan Unduh Dokumen yah. Karena agak ribet lagi untuk proses Cetak Dokumen. ini Aplikasi kek ngak Guna juga ngak tau buat apa. katanya Digital tapi tapi Masi minta Fisik lagi saat pengurusan.
Muhpians,1,2025-11-21 01:26:44,"aplikasi masih mentah, masa mau ngambil PIN dan barcode harus ke dukcapil alias offline ya sama aja. orang pengen buat via online biar simple kok di persulit, gimana PUNGLI mau diberantas."
Nur Qomaruddin,3,2025-11-21 01:01:50,mungkin masih banyak yang perlu di perbaiki terutama Nama dan gelar banyak yang gabung.
Fey “Valhalla”,1,2025-11-21 00:38:46,"Kelihatan banget kalau hanya sebuah proyek. Dulu sudah pernah mendaftar, sekarang diminta mendaftar lagi, tdk bisa langsung login. Parah banget."
Ashraf Willdan,1,2025-11-20 18:53:14,tidak dapat login
Septeriel Laia,5,2025-11-20 17:56:28,semoga kedepannya fiturnya masih bagus lagi
Steven,1,2025-11-20 13:15:09,"Data KTP, KK sampai nomor telepon bocor ke bank, pinjol dan tlp2 ga jelas. byk penipuan tlp dan pura2 dari kelurahan abis download aplikasi ini. Mereka semua tau nomor hp,nomor ktp bahkan sampai anggota di KK semua keliatan. Aplikasi ky gini keamanannya ga jelas bgt sumpah."
Mohamad Tjipto,5,2025-11-20 11:46:20,bagus aplikasi nya
a ghojaly,5,2025-11-20 11:10:59,sangat puas
Dony Maryono,1,2025-11-20 10:29:58,maaf aplikasinya sulit (tolong di permudah)
Romli Rafael,1,2025-11-20 09:12:54,apknya tidak bisa dibuka kenapa tolong minta sosulinya
Ney Cahya,1,2025-11-20 08:24:05,kok gitu logo app IKD logo garuda merah putih gua suka! kayak gak ada niat buat logo IKD
elalia yuniarti,1,2025-11-20 07:35:49,Mau mencetak KK secara online. tetapi sudah 3 hari pengajuan belum disetujui/tidak ada progres sama sekali. seperti tidak ada petugas yang menindaklanjuti permohonan.
Andik Susanto,3,2025-11-20 07:32:19,"aplikasi susah diakses muter mulu terjadi kesalahan dan coba lagi, server perlu perbaikan demi perkembangan"
Wulan Ari Ningsih,1,2025-11-20 06:54:57,"kocak banget minta Izin akses foto dan video, pencet tombol tidak diizinkan lalu aplikasi gabisa dipake. LAH BANGET"
Stefanus Bai,5,2025-11-20 06:16:47,ok
win senpai,1,2025-11-20 04:10:36,gak guna
Rudjandra Winoto,1,2025-11-20 03:49:14,"Aplikasi menyatakan bahwa OS Android yang diperlukan adalah versi 8.0 atau lebih baru. saya versi 11 tapi aplikasi masih tetap tidak bisa saya gunakan, aplikasi tidak kompatibel dengan versi android perangkat. developer tolong ini di Patch segera."
Yossi Satriawan,1,2025-11-20 03:46:52,"aplikasi layanan publik tapi bisa ga kompitable dengan android versi 9, harus nya aplikasi ini dibuat untuk semua versi android agar semua masyarakat bisa mengaksesnya"
Khasanatun Ana,1,2025-11-20 03:30:44,Aplikasi pertama okelah membantu.... Tapi setelah di perbarui langsung ngga bisa di buka
Dimas Prasetyo,1,2025-11-20 03:13:51,gak bisa di akses
AGOES 16,4,2025-11-20 01:33:42,semoga kedepannya status kita bisa rubah sendiri seperti pekerjaan
Shanty Sania,3,2025-11-20 01:01:17,aplikasinya lumayan membantu proses pembuatan KTP tapi ada sedikit masalah kenapa ya sulit membuka kembali aplikasinya dgn alasan pin salah padahal pin nya sudah benar
fikri ahmad,1,2025-11-20 00:34:08,apa gunanya aplikasi ini jika pendaftaran harus dilakukan secara offline dan tidak bisa mendaftarkan secara online.
Anang Suryana,1,2025-11-20 00:29:45,tidak bisa daftar eror terus
Dodi Subagja,5,2025-11-20 00:14:16,ok
prahu layar,1,2025-11-19 16:47:00,"negara buang² duit untuk apk gak guna,,selalu minta activasi ulang yg bikin repot walaupun sudah ada biometrik sidik jari tetep ngga fungsi"
Maharani Utami,1,2025-11-19 15:19:22,"Beberapa bulan lalu masih bisa di buka. tetapi baru beberapa minggu ini mau sya buka minta update versi, tapi di HP android versi 10 tidak di dukung. alhasil tidak bisa terunduh di HP & tidak berfungsi. tolong suportnya untuk android versi 10"
Ma Hjipr,5,2025-11-19 14:52:34,terimakasih
Kass 12,1,2025-11-19 14:47:12,"g jelas asli, gw udh daftar dulu terus mau login pin juga gw catet nggak di rubah malah nggak bisa, asli g jelas, lu buang buang anggaran. nggak ikd nggak web npwp sama aja"
Anis Mutia,1,2025-11-19 12:56:47,jyaannn....ORA MUTU..!!! apk online ndadak daftar offline... mbok dibuat mudah aja gitu lho... apk pemerintah Ki lho mesti ra enek sg beressss .. malah ngeribeti
Charlos Gad,5,2025-11-19 11:20:40,sangat bagus
Asroel Deknaura,5,2025-11-19 09:02:56,sangat memuskan dengan apk ini
Toni Johan,1,2025-11-19 08:57:45,suka error di Sruh download ulang pas SDH download perbarui. ngak bisa buka ikd nya..
Muhammad Ramadani,1,2025-11-19 08:44:55,sangat ribet menggunakan aplikasi ini tidak semua hp bisa pakai
Bungo Harau Official,3,2025-11-19 07:41:15,"mantap, kekurangan nya tampa ktp fisik, tidak bisa membuka tabungan di bank mandri"
NunuChanel,1,2025-11-19 07:31:02,JANGAN UNDUH NANTI MENYESAL. alah percuma download klo jatuhnya tetep harus ke dukcapil buat daftar. pdhl skrg vermuk bisa lwat hp. intinya smpe dukcapil sama aja bnyk calo. trus gmn yg merantau jauh yg memang blm bisa plng tp btuh data KK nya? percuma mau ambil kesempatan jg. BIKIN APK CUMA BUAT CARI DUIT AJA INI MAH
Dul F Agus,2,2025-11-19 06:26:23,Lebih mudah yg lama
Budi Seta,1,2025-11-19 05:47:19,aplikasinya susah buat logon minta password tpi ngak tau gimana dapatkannya. mempersulit masyarkat mau ngurus lewat online aja. aplikasi ngak ada guna ini
Paulus Purba,5,2025-11-19 04:48:06,bagus
Djalil Purnama,4,2025-11-19 04:33:35,kalo lupa pin gmn ya. padahal pengaktifan brpa Minggu lalu dg pin yg benar pas skr2 mau buka kok katanya pin salah
Abdul Azis,2,2025-11-19 04:27:37,"menu pelayanan dukcapil online tidak di tindak lanjuti oleh pihak dukcapil, sehingga pengajuan yang di lakukan tidak ada proses lanjut.. semoga ke depanya lebih di perbaiki sehingga dapat memudahkan masyarakat dalam memperbaiki berkas"" kependudukan"
Raja Coc,1,2025-11-19 04:17:44,"kelurahan kapuk..... saya pernah kehilangan KTP tahun 2022, sudah bikin KTP baru tapi di alihkan ke KTP Digital, alasan blanko tidak ada... tahun ini 2025 saya mau cetak KTP lagi tidak bisa dengan alasan tidak ada bukti kehilangan!!!! kan tablo udah bikin lama minta e-KTP di suruh bikin KTP Digital sekarang saya mau cetak KTP say sendiri malah di persulit.. yang ngurus KTP saya dari dulu pihak kelurahan bukan saya kenapa saya yang di persulit mendapatkan indetitas saya sendiri. nyusahin masyarak"
Indra Wijaya,5,2025-11-19 04:14:02,semoga bermanfaat dan lebih mudah
Reza Syah,3,2025-11-19 04:08:47,"mohon tambahkan MENU PERUBAHAN data STATUS PEKERJAAN, agar tidak harus datang ke dukcapil hanya untuk.merubah status. tambah juga MENU DOWNLOAD DOKUMEN agar bisa di cetak sendiri tanpa harus datang ke dukcapil atau kecamatan"
muslich wahyudi,1,2025-11-19 03:46:31,susah dimasuknya
Aryant,1,2025-11-19 03:22:05,"Pengembang aplikasi buruk. ""Aplikasi Layanan Publik"".. Masalah Server,Bug dalam pembaruan aja gak bisa diatasi!! bintang ⭐ satu pun gak layak."
Muh Rivandi,5,2025-11-19 03:08:09,"Tampilan aplikasi nya sangat fresh dan bagus banget, nyaman di lihat, fitur juga oke semua, dokumen lengkap semua, kayaknya ini aplikasi pemerintah yang paling oke"
ACHMAT SYAIFUL,5,2025-11-19 01:44:54,ktp menang ya
Zaenal Arivhin,3,2025-11-19 01:01:22,"Layanan tidak bisa diakses, muter-muter mulu. fungsinya buat apa??"
Muhammad Arifin,5,2025-11-19 00:58:24,alhamdulilah Sekarang makin di permudah semua ya.... jadi nggk perlu khawatir di lapangan...kalau lagi ada keperluan mendadak bisa langsung buka aplikasi ini.. terima kasih pengabdiannya untuk bangsa dan negara
Geno Lakburlawal,1,2025-11-18 23:42:27,tolong admin! ini IKD kenapa perangkat saya tidak bisa mendownload apk nya padahal perangkat saya android versi 12.. tolong di perbaiki lagi apk nya
Musafa Umarela,2,2025-11-18 23:15:40,"update malah jadi tidak kompatibel di perangkat, ini gimana?"
